session_name,Creators,DataManager,DataCollector,ProjectMember
20211214_MDG-Toliara_UVC-01_01,"ALDN, YAM,HZE, IJB, TR, TM, MR, SR","YAM, VI","YAM, ALDN, HZE, IJB, TR, TM, MR, SR","MC,SBO, VI, GT, HJ, JM, IE"
20211214_MDG-Toliara_UVC-01_02,"ALDN, YAM,HZE, IJB, TR, TM, MR, SR","YAM, VI","YAM, ALDN, HZE, IJB, TR, TM, MR, SR","MC,SBO, VI, GT, HJ, JM, IE"
20211214_MDG-Toliara_UVC-01_03,"ALDN, YAM,HZE, IJB, TR, TM, MR, SR","YAM, VI","YAM, ALDN, HZE, IJB, TR, TM, MR, SR","MC,SBO, VI, GT, HJ, JM, IE"
20211215_MDG-Toliara_UVC-01_01,"ALDN, YAM,HZE, IJB, TR, TM, MR, SR","YAM, VI","YAM, ALDN, HZE, IJB, TR, TM, MR, SR","MC,SBO, VI, GT, HJ, JM, IE"
20211215_MDG-Toliara_UVC-01_02,"ALDN, YAM,HZE, IJB, TR, TM, MR, SR","YAM, VI","YAM, ALDN, HZE, IJB, TR, TM, MR, SR","MC,SBO, VI, GT, HJ, JM, IE"
20211215_MDG-Toliara_UVC-01_03,"ALDN, YAM,HZE, IJB, TR, TM, MR, SR","YAM, VI","YAM, ALDN, HZE, IJB, TR, TM, MR, SR","MC,SBO, VI, GT, HJ, JM, IE"
20211216_MDG-Toliara_UVC-01_01,"ALDN, YAM,HZE, IJB, TR, TM, MR, SR","YAM, VI","YAM, ALDN, HZE, IJB, TR, TM, MR, SR","MC,SBO, VI, GT, HJ, JM, IE"
20240116_MDG-Toliara_UVC-01_01,"ALDN, YAM,HZE, IJB, TR, TM, MR, SR","YAM, VI","YAM, ALDN, HZE, IJB, TR, TM, MR, SR","MC,SBO, VI, GT, HJ, JM, IE"
20240116_MDG-Toliara_UVC-01_02,"ALDN, YAM,HZE, IJB, TR, TM, MR, SR","YAM, VI","YAM, ALDN, HZE, IJB, TR, TM, MR, SR","MC,SBO, VI, GT, HJ, JM, IE"
20240116_MDG-Toliara_UVC-01_03,"ALDN, YAM,HZE, IJB, TR, TM, MR, SR","YAM, VI","YAM, ALDN, HZE, IJB, TR, TM, MR, SR","MC,SBO, VI, GT, HJ, JM, IE"
20240117_MDG-Toliara_UVC-01_01,"ALDN, YAM,HZE, IJB, TR, TM, MR, SR","YAM, VI","YAM, ALDN, HZE, IJB, TR, TM, MR, SR","MC,SBO, VI, GT, HJ, JM, IE"
20240117_MDG-Toliara_UVC-01_02,"ALDN, YAM,HZE, IJB, TR, TM, MR, SR","YAM, VI","YAM, ALDN, HZE, IJB, TR, TM, MR, SR","MC,SBO, VI, GT, HJ, JM, IE"
20240117_MDG-Toliara_UVC-01_03,"ALDN, YAM,HZE, IJB, TR, TM, MR, SR","YAM, VI","YAM, ALDN, HZE, IJB, TR, TM, MR, SR","MC,SBO, VI, GT, HJ, JM, IE"
20240118_MDG-Toliara_UVC-01_01,"ALDN, YAM,HZE, IJB, TR, TM, MR, SR","YAM, VI","YAM, ALDN, HZE, IJB, TR, TM, MR, SR","MC,SBO, VI, GT, HJ, JM, IE"
20240118_MDG-Toliara_UVC-01_02,"ALDN, YAM,HZE, IJB, TR, TM, MR, SR","YAM, VI","YAM, ALDN, HZE, IJB, TR, TM, MR, SR","MC,SBO, VI, GT, HJ, JM, IE"
20240118_MDG-Toliara_UVC-01_03,"ALDN, YAM,HZE, IJB, TR, TM, MR, SR","YAM, VI","YAM, ALDN, HZE, IJB, TR, TM, MR, SR","MC,SBO, VI, GT, HJ, JM, IE"
20240118_MDG-Toliara_UVC-01_04,"ALDN, YAM,HZE, IJB, TR, TM, MR, SR","YAM, VI","YAM, ALDN, HZE, IJB, TR, TM, MR, SR","MC,SBO, VI, GT, HJ, JM, IE"
20240119_MDG-Toliara_UVC-01_01,"ALDN, YAM,HZE, IJB, TR, TM, MR, SR","YAM, VI","YAM, ALDN, HZE, IJB, TR, TM, MR, SR","MC,SBO, VI, GT, HJ, JM, IE"
20240119_MDG-Toliara_UVC-01_02,"ALDN, YAM,HZE, IJB, TR, TM, MR, SR","YAM, VI","YAM, ALDN, HZE, IJB, TR, TM, MR, SR","MC,SBO, VI, GT, HJ, JM, IE"
20240119_MDG-Toliara_UVC-01_03,"ALDN, YAM,HZE, IJB, TR, TM, MR, SR","YAM, VI","YAM, ALDN, HZE, IJB, TR, TM, MR, SR","MC,SBO, VI, GT, HJ, JM, IE"
20240119_MDG-Toliara_UVC-01_04,"ALDN, YAM,HZE, IJB, TR, TM, MR, SR","YAM, VI","YAM, ALDN, HZE, IJB, TR, TM, MR, SR","MC,SBO, VI, GT, HJ, JM, IE"
20240119_MDG-Toliara_UVC-01_05,"ALDN, YAM,HZE, IJB, TR, TM, MR, SR","YAM, VI","YAM, ALDN, HZE, IJB, TR, TM, MR, SR","MC,SBO, VI, GT, HJ, JM, IE"
